window_size,window_step,min_temp,max_temp,gaussian_blur_kernel_size,mask_type,bandpass_low_cut,bandpass_high_cut,mask_low_accuracy,mask_borders,dilate_kernel_size,id,rmse,mae,r2,true_respiratory_frequency,author,position,date
5,5,22,32,3,otsu,0.1,0.7,True,5,3,7798856099153695233,0.11038395567522138,0.11038395567522138,-inf,0.5,lucas,left,02
5,5,22,32,3,otsu,0.1,0.7,True,5,5,98013851915500055765,0.10959840804490177,0.10959840804490177,-inf,0.5,lucas,left,02
5,5,22,32,5,otsu,0.1,0.7,True,5,3,7093035047251704841,0.11509285615468366,0.11509285615468366,-inf,0.5,lucas,left,02
5,5,22,32,5,otsu,0.1,0.7,True,5,5,93624113279458678918,0.113510139421411,0.113510139421411,-inf,0.5,lucas,left,02
5,5,22,34,1,otsu,0.1,0.7,True,5,3,97406608132415894342,0.10721979436111523,0.10721979436111523,-inf,0.5,lucas,left,02
5,5,22,34,1,otsu,0.1,0.7,True,5,5,93487179819004386578,0.11343096202400554,0.11343096202400554,-inf,0.5,lucas,left,02
5,5,22,34,3,otsu,0.1,0.7,True,5,3,95694766329016066914,0.10725840819709093,0.10725840819709093,-inf,0.5,lucas,left,02
5,5,22,34,3,otsu,0.1,0.7,True,5,5,3378388025650560085,0.11340573031260821,0.11340573031260821,-inf,0.5,lucas,left,02
5,5,22,34,5,otsu,0.1,0.7,True,5,3,9136549333934067992,0.10721884027875912,0.10721884027875912,-inf,0.5,lucas,left,02
5,5,22,34,5,otsu,0.1,0.7,True,5,5,2671993453364912426,0.11340254897231229,0.11340254897231229,-inf,0.5,lucas,left,02
5,5,22,36,1,otsu,0.1,0.7,True,5,3,99936320367433673810,0.10884398820057645,0.10884398820057645,-inf,0.5,lucas,left,02
5,5,22,36,1,otsu,0.1,0.7,True,5,5,8433619005616163554,0.11493422485053152,0.11493422485053152,-inf,0.5,lucas,left,02
5,5,22,36,3,otsu,0.1,0.7,True,5,3,95404840646266886070,0.10721884027875912,0.10721884027875912,-inf,0.5,lucas,left,02
5,5,22,36,3,otsu,0.1,0.7,True,5,5,8557685055696797759,0.11856728411681129,0.11856728411681129,-inf,0.5,lucas,left,02
5,5,22,36,5,otsu,0.1,0.7,True,5,3,95993748944523219877,0.11031657005197902,0.11031657005197902,-inf,0.5,lucas,left,02
5,5,22,36,5,otsu,0.1,0.7,True,5,5,96881549405943089279,0.12168646251352012,0.12168646251352012,-inf,0.5,lucas,left,02
5,5,24,30,1,otsu,0.1,0.7,True,5,3,92425118902811302723,0.19691278118426636,0.19691278118426636,-inf,0.5,lucas,left,02
5,5,24,30,1,otsu,0.1,0.7,True,5,5,92643359432073081241,0.17919416658786422,0.17919416658786422,-inf,0.5,lucas,left,02
5,5,24,30,3,otsu,0.1,0.7,True,5,3,55446210412529920,0.20419516082994218,0.20419516082994218,-inf,0.5,lucas,left,02
5,5,24,30,3,otsu,0.1,0.7,True,5,5,91470561268195011496,0.18608494314220697,0.18608494314220697,-inf,0.5,lucas,left,02
5,5,24,30,5,otsu,0.1,0.7,True,5,3,4974337712775569298,0.20245851005918966,0.20245851005918966,-inf,0.5,lucas,left,02
5,5,24,30,5,otsu,0.1,0.7,True,5,5,671320875269474482,0.1975051978752315,0.1975051978752315,-inf,0.5,lucas,left,02
5,5,24,32,1,otsu,0.1,0.7,True,5,3,7906433770899419884,0.11030800053938829,0.11030800053938829,-inf,0.5,lucas,left,02
5,5,24,32,1,otsu,0.1,0.7,True,5,5,95531306739752676892,0.10816951000379364,0.10816951000379364,-inf,0.5,lucas,left,02
5,5,24,32,3,otsu,0.1,0.7,True,5,3,8184913564198931943,0.11034438775688957,0.11034438775688957,-inf,0.5,lucas,left,02
5,5,24,32,3,otsu,0.1,0.7,True,5,5,97203557649238062197,0.10959840804490177,0.10959840804490177,-inf,0.5,lucas,left,02
5,5,24,32,5,otsu,0.1,0.7,True,5,3,7252614318818682220,0.113510139421411,0.113510139421411,-inf,0.5,lucas,left,02
5,5,24,32,5,otsu,0.1,0.7,True,5,5,92979627729491999874,0.113510139421411,0.113510139421411,-inf,0.5,lucas,left,02
5,5,24,34,1,otsu,0.1,0.7,True,5,3,92236767337179383946,0.10721979436111523,0.10721979436111523,-inf,0.5,lucas,left,02
5,5,24,34,1,otsu,0.1,0.7,True,5,5,94903011804138339546,0.11343096202400554,0.11343096202400554,-inf,0.5,lucas,left,02
5,5,24,34,3,otsu,0.1,0.7,True,5,3,6918349413918886404,0.10725840819709093,0.10725840819709093,-inf,0.5,lucas,left,02
5,5,24,34,3,otsu,0.1,0.7,True,5,5,92833280245712613482,0.11340573031260821,0.11340573031260821,-inf,0.5,lucas,left,02
5,5,24,34,5,otsu,0.1,0.7,True,5,3,6099590702041701409,0.10721884027875912,0.10721884027875912,-inf,0.5,lucas,left,02
5,5,24,34,5,otsu,0.1,0.7,True,5,5,93640971846735272870,0.11340254897231229,0.11340254897231229,-inf,0.5,lucas,left,02
5,5,24,36,1,otsu,0.1,0.7,True,5,3,5615818996378749403,0.10884398820057645,0.10884398820057645,-inf,0.5,lucas,left,02
5,5,24,36,1,otsu,0.1,0.7,True,5,5,94693361934081182272,0.11493422485053152,0.11493422485053152,-inf,0.5,lucas,left,02
5,5,24,36,3,otsu,0.1,0.7,True,5,3,93226884339940087613,0.10721884027875912,0.10721884027875912,-inf,0.5,lucas,left,02
5,5,24,36,3,otsu,0.1,0.7,True,5,5,96538938333702109499,0.11856728411681129,0.11856728411681129,-inf,0.5,lucas,left,02
5,5,24,36,5,otsu,0.1,0.7,True,5,3,522583570721610459,0.11031657005197902,0.11031657005197902,-inf,0.5,lucas,left,02
5,5,24,36,5,otsu,0.1,0.7,True,5,5,4546667896906977353,0.12168646251352012,0.12168646251352012,-inf,0.5,lucas,left,02
10,10,18,30,1,otsu,0.1,0.7,True,5,3,9214627269034684336,0.12817404492160014,0.12817404492160014,-inf,0.5,lucas,left,02
10,10,18,30,1,otsu,0.1,0.7,True,5,5,91253053540666251778,0.09912488766164279,0.09912488766164279,-inf,0.5,lucas,left,02
10,10,18,30,3,otsu,0.1,0.7,True,5,3,91663518637301127528,0.16245062387840398,0.16245062387840398,-inf,0.5,lucas,left,02
10,10,18,30,3,otsu,0.1,0.7,True,5,5,98088689819798603503,0.12334969979202609,0.12334969979202609,-inf,0.5,lucas,left,02
10,10,18,30,5,otsu,0.1,0.7,True,5,3,4522823600159022715,0.15199730710461973,0.15199730710461973,-inf,0.5,lucas,left,02
10,10,18,30,5,otsu,0.1,0.7,True,5,5,4822107155041097412,0.1385091784820848,0.1385091784820848,-inf,0.5,lucas,left,02
10,10,18,32,1,otsu,0.1,0.7,True,5,3,94500947565953316330,0.02879823192176639,0.02879823192176639,-inf,0.5,lucas,left,02
10,10,18,32,1,otsu,0.1,0.7,True,5,5,5225357240816478787,0.02879823192176639,0.02879823192176639,-inf,0.5,lucas,left,02
10,10,18,32,3,otsu,0.1,0.7,True,5,3,800423101328540104,0.027204860347515274,0.027204860347515274,-inf,0.5,lucas,left,02
10,10,18,32,3,otsu,0.1,0.7,True,5,5,5270770883159356380,0.02879823192176639,0.02879823192176639,-inf,0.5,lucas,left,02
10,10,18,32,5,otsu,0.1,0.7,True,5,3,6989282282385044911,0.027204860347515274,0.027204860347515274,-inf,0.5,lucas,left,02
10,10,18,32,5,otsu,0.1,0.7,True,5,5,92407173341369413387,0.027204860347515274,0.027204860347515274,-inf,0.5,lucas,left,02
10,10,18,34,1,otsu,0.1,0.7,True,5,3,93096837536946101400,0.02879823192176639,0.02879823192176639,-inf,0.5,lucas,left,02
10,10,18,34,1,otsu,0.1,0.7,True,5,5,2437955162960391597,0.028059190127678723,0.028059190127678723,-inf,0.5,lucas,left,02
10,10,18,34,3,otsu,0.1,0.7,True,5,3,92005332135496773045,0.02879823192176639,0.02879823192176639,-inf,0.5,lucas,left,02
